t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,internet,queued_alerts,delivered_alerts,physical_p,physical_m,physical_u
0.0,0,0,0,0,0,0,0,0,0.4485512644353459,3.0030024997660107,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0.4485512644353459,3.0160036471985388,3.0160036471985388,0.0,0.0,0,1,1,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,1.2267859462324793,2.9851573105127507,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0.5279415532296255,2.995168925070428,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0.7069099230579547,2.9953873423440847,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0.32459978285907554,2.996762400310845,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0.39775934734930074,3.0216005320344035,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0.22579849864967302,2.9844629515498187,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0.25990448860199955,2.9994105234005803,2.996762400310845,0.0,0.0,0,1,1,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0.36869126700933647,3.0035716778412467,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0.3202890593913796,2.993549920237225,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0.5801634238397487,3.03499767743035,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0.49293095383237845,3.006090861525497,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0.31791297755427506,2.9854011911450065,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,0.5468858109108595,2.979570414666967,2.993549920237225,0.0,0.0,0,1,1,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0.6456535831496049,2.9728018544521535,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,0.5495718382781034,2.989034621160964,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0,0.6158719922214052,2.9946957538861705,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,0.8212686382901567,3.0136496793634517,2.989034621160964,0.0,0.0,0,1,1,0,0,0,0,0
1.9,0,0,0,0,0,0,0,0,0.807889793926618,3.0208197065780786,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0.5452803012791184,2.9885160551108245,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0.44054313267536876,2.9948766912630416,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0.3221529179701793,2.982630402165536,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0.788451692786174,2.9969904968794294,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.4,0,0,0,0,0,0,0,0,0.36709631172394824,2.9731660337527135,2.9885160551108245,0.0,0.0,0,1,1,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0.5417809030599988,2.995208228767895,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0,0.5582952480688982,2.9721547908718917,2.982630402165536,0.0,0.0,0,1,1,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,1.0677876520199927,2.988118261598656,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.8,0,0,0,0,0,0,0,0,1.3835216837843922,2.9954253885102413,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.9,0,0,0,0,0,0,0,0,0.24075754577133052,3.009750456441761,2.995208228767895,0.0,0.0,0,1,1,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0.4409260386181188,3.0000535978243144,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0.5197502655226054,2.9945710120678397,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0.8775960045680444,3.0171015398697567,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0.41146391957534456,2.98309268161578,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0.5344917411116893,3.015265670087973,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0.5704902990539475,2.977455826216842,2.9945710120678397,0.0,0.0,0,1,1,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,1.0728721868019173,2.986918655831048,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0.31362434228670266,3.0029471724488133,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0.9449340719461516,3.0350476282110934,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0.3163946642852121,3.0044686234823113,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0.3907307446364165,2.9874401881632626,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0.25515429669039896,3.0092834443988012,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0.3698328028795723,3.018183671722043,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0.4057293651482357,2.983957492674628,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0.3795722553590052,3.0148391787673168,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0.45228805560273844,2.9497663894901742,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0.5034056582213849,2.9834526365501626,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0.36609506668222175,2.993032991758009,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0.31326767313350967,3.0077259741244116,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0.22953015439837,3.025708657343512,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0.27123296997413154,3.0264180815811943,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0.3426513655072528,2.987502482243777,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0.6116618965670975,2.9762846376853935,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.3,0,0,0,0,0,0,0,0,0.5282639291491177,2.9427133842067326,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.4,0,0,0,0,0,0,0,0,0.8989259009861353,3.0183462908296725,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0.2893608494568863,3.0300182344518833,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.6,0,0,0,0,0,0,0,0,0.32195756491823296,2.9584444004285952,2.9762846376853935,0.0,0.0,0,1,1,0,0,0,0,0
5.7,0,0,0,0,0,0,0,0,0.33437402931957927,2.965157149127101,2.965157149127101,0.0,0.0,0,1,1,0,0,0,0,0
5.8,0,0,0,0,0,0,0,0,0.34522006040751396,2.9838699509428968,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
5.9,0,0,0,0,0,0,0,0,0.8236183649649824,2.9989103931695786,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0.8201498028655635,3.027187666124831,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0.5562661135577158,3.0060536459848968,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,1.0651765621441458,2.9767975214199147,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0.507883954251961,3.012675619207614,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.4,0,0,0,0,0,0,0,0,0.3965768071847197,3.0274659701237545,3.012675619207614,0.0,0.0,0,1,1,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0.5092042999085945,3.003395945901959,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.6,0,0,0,0,0,0,0,0,0.8343505686165861,2.9850733292501057,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.7,0,0,0,0,0,0,0,0,0.27519063869801014,2.9761174895103184,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.8,0,0,0,0,0,0,0,0,0.6455130567332942,2.984021697062378,2.9850733292501057,0.0,0.0,0,1,1,0,0,0,0,0
6.9,0,0,0,0,0,0,0,0,0.5771498067163454,2.9737351629364834,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0.7416746019319824,2.995424233110415,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0.3531706670053183,2.996321785274254,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.2,0,0,0,0,0,0,0,0,0.2648896646260803,2.993387756417457,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.3,0,0,0,0,0,0,0,0,0.6249575731641231,2.975767106973828,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.4,0,0,0,0,0,0,0,0,0.7939289369053484,2.9918135992768877,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0.4121246580355795,3.0095693697400088,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.6,0,0,0,0,0,0,0,0,0.4745002263902259,3.0002964544892974,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.7,0,0,0,0,0,0,0,0,0.25757381537153884,3.025638137607197,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
7.8,0,0,0,0,0,0,0,0,0.8871592499254349,2.9851982103049903,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
7.9,0,0,0,0,0,0,0,0,0.41459716360532295,3.0267984290506136,3.0095693697400088,0.0,0.0,0,1,1,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,1.2432140257981243,2.980585239969269,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
8.1,0,0,0,0,0,0,0,0,0.4586307245588204,3.0067344987743128,3.0067344987743128,0.0,0.0,0,1,1,0,0,0,0,0
8.2,0,0,0,0,0,0,0,0,0.7013680691177693,2.9753111425601717,2.9851982103049903,0.0,0.0,0,1,1,0,0,0,0,0
8.3,0,0,0,0,0,0,0,0,0.3547772929258389,2.9935408699067874,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.4,0,0,0,0,0,0,0,0,0.5698423043266154,3.009249500233351,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0.607796117002266,3.0020842406158135,3.0020842406158135,0.0,0.0,0,1,1,0,0,0,0,0
8.6,0,0,0,0,0,0,0,0,0.34624991311184,2.9773678033384945,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.7,0,0,0,0,0,0,0,0,0.4592956252099279,3.0105286840125767,3.0020842406158135,0.0,0.0,0,1,1,0,0,0,0,0
8.8,0,0,0,0,0,0,0,0,0.41961682832940034,3.002898673482223,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
8.9,0,0,0,0,0,0,0,0,0.44620201593609654,3.0088244043546064,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0.43130825531722805,2.9506038208514003,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0.5584947608560186,2.9871651948552076,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.2,0,0,0,0,0,0,0,0,0.36780118081499275,3.02775718615467,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.3,0,0,0,0,0,0,0,0,0.4585838279699773,3.0231877798503595,3.0088244043546064,0.0,0.0,0,1,1,0,0,0,0,0
9.4,0,0,0,0,0,0,0,0,0.683566976932243,2.9826921588447597,2.9871651948552076,0.0,0.0,0,1,1,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0.43178323106876354,3.0118751509465747,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.6,0,0,0,0,0,0,0,0,0.48531381059979584,2.994129616541903,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.7,0,0,0,0,0,0,0,0,0.7475430549510622,3.032682944470968,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.8,0,0,0,0,0,0,0,0,0.85597252980368,2.998865299492228,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
9.9,0,0,0,0,0,0,0,0,0.41255808101153796,2.986655442421185,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0.5053692555811723,2.9744373932854287,2.994129616541903,0.0,0.0,0,1,1,0,0,0,0,0
10.1,0,0,0,0,0,0,0,0,0.8306525432334669,3.016330756228895,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
10.2,0,0,0,0,0,0,0,0,0.6979126749968568,3.0184265885046995,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
10.3,0,0,0,0,0,0,0,0,0.31626884043187875,2.983341418386034,2.986655442421185,0.0,0.0,0,1,1,0,0,0,0,0
10.4,0,0,0,0,0,0,0,0,0.500352916011504,3.0064153297555825,3.0064153297555825,0.0,0.0,0,1,1,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0.787658856461361,2.995438672972042,3.0064153297555825,0.0,0.0,0,1,1,0,0,0,0,0
10.6,0,0,0,0,0,0,0,0,0.8220194861738991,2.9638400849545334,2.995438672972042,0.0,0.0,0,1,1,0,0,0,0,0
10.7,0,0,0,0,0,0,0,0,0.3152856648240924,2.9949851501693874,2.9949851501693874,0.0,0.0,0,1,1,0,0,0,0,0
10.8,0,0,0,0,0,0,0,0,0.6039773119940769,2.9811234856594515,2.9949851501693874,0.0,0.0,0,1,1,0,0,0,0,0
10.9,0,0,0,0,0,0,0,0,0.3206683068143781,3.0176218498702427,2.9949851501693874,0.0,0.0,0,1,1,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0,0.40872011876234826,3.021974014260361,2.9949851501693874,0.0,0.0,0,1,1,0,0,0,0,0
11.1,0,0,0,0,0,0,0,0,0.7441485221728084,3.014649650885998,3.014649650885998,0.0,0.0,0,1,1,0,0,0,0,0
11.2,0,0,0,0,0,0,0,0,0.27427249561488026,3.0279763115446823,3.0176218498702427,0.0,0.0,0,1,1,0,0,0,0,0
11.3,0,0,0,0,0,0,0,0,0.8439272327264613,3.0206180150110162,3.0206180150110162,0.0,0.0,0,1,1,0,0,0,0,0
11.4,0,0,0,0,0,0,0,0,0.8974027465772184,3.0424072980873307,3.021974014260361,0.0,0.0,0,1,1,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0.5608909923972557,2.9737472955259476,3.0206180150110162,0.0,0.0,0,1,1,0,0,0,0,0
11.6,0,0,0,0,0,0,0,0,0.9347109811308681,3.018371256639401,3.0206180150110162,0.0,0.0,0,1,1,0,0,0,0,0
11.7,0,0,0,0,0,0,0,0,0.7584376018089288,3.037506399761012,3.0206180150110162,0.0,0.0,0,1,1,0,0,0,0,0
11.8,0,0,0,0,0,0,0,0,0.5921494809552196,2.995405762367229,3.018371256639401,0.0,0.0,0,1,1,0,0,0,0,0
11.9,0,0,0,0,0,0,0,0,0.33888422278524394,2.995555682088925,2.995555682088925,0.0,0.0,0,1,1,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0,0.5821581124463253,3.0014615431736753,3.0014615431736753,0.0,0.0,0,1,1,0,0,0,0,0
12.1,0,0,0,0,0,0,0,0,0.44407871697195955,2.988188321563312,2.995555682088925,0.0,0.0,0,1,1,0,0,0,0,0
12.2,0,0,0,0,0,0,0,0,1.0383449372206868,2.98820587455591,2.995405762367229,0.0,0.0,0,1,1,0,0,0,0,0
12.3,0,0,0,0,0,0,0,0,0.6760411373112771,2.990985773928498,2.990985773928498,0.0,0.0,0,1,1,0,0,0,0,0
12.4,0,0,0,0,0,0,0,0,0.4367096689364719,2.9875099716298577,2.98820587455591,0.0,0.0,0,1,1,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0.4655951419563194,3.0069984956293316,2.98820587455591,0.0,0.0,0,1,1,0,0,0,0,0
12.6,0,0,0,0,0,0,0,0,0.39737870605096076,2.9731393669364317,2.98820587455591,0.0,0.0,0,1,1,0,0,0,0,0
12.7,0,0,0,0,0,0,0,0,0.4296190638806512,3.023223300534368,2.990985773928498,0.0,0.0,0,1,1,0,0,0,0,0
12.8,0,0,0,0,0,0,0,0,0.8336018561080808,2.992456136424554,2.992456136424554,0.0,0.0,0,1,1,0,0,0,0,0
12.9,0,0,0,0,0,0,0,0,0.46569051020772634,2.9999463150600323,2.9999463150600323,0.0,0.0,0,1,1,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0,0.24863125336052222,3.0092315298002577,2.9999463150600323,0.0,0.0,0,1,1,0,0,0,0,0
13.1,0,0,0,0,0,0,0,0,0.3613726337867145,2.988902525263718,2.9999463150600323,0.0,0.0,0,1,1,0,0,0,0,0
13.2,0,0,0,0,0,0,0,0,0.36549771012772414,2.9871517530843126,2.992456136424554,0.0,0.0,0,1,1,0,0,0,0,0
13.3,0,0,0,0,0,0,0,0,0.38997617687872294,2.9896603214784094,2.9896603214784094,0.0,0.0,0,1,1,0,0,0,0,0
13.4,0,0,0,0,0,0,0,0,0.5552376481080029,2.9935392026323298,2.9896603214784094,0.0,0.0,0,1,1,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0.38448768519646565,2.996551799912724,2.9896603214784094,0.0,0.0,0,1,1,0,0,0,0,0
13.6,0,0,0,0,0,0,0,0,0.4067102270835405,2.990406098889675,2.990406098889675,0.0,0.0,0,1,1,0,0,0,0,0
