t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,internet,queued_alerts,delivered_alerts,physical_p,physical_m,physical_u
0.0,0,0,0,0,0,0,0,0,0.7618126848479839,3.0030024997660107,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0.7618126848479839,3.0160036471985388,3.0160036471985388,0.0,0.0,0,1,1,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0.8336775384865718,2.9851573105127507,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0.19828897923458308,2.995168925070428,3.0030024997660107,0.0,0.0,0,1,1,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0.4170517693505134,2.9953873423440847,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0.3024901546830319,2.996762400310845,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0.6348707164811486,3.0216005320344035,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0.3424599997303443,2.9844629515498187,2.9953873423440847,0.0,0.0,0,1,1,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0.5555489581182668,2.9994105234005803,2.996762400310845,0.0,0.0,0,1,1,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0.3016336264851897,3.0035716778412467,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0.24418118823151555,2.993549920237225,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0.4075960326532083,3.03499767743035,2.9994105234005803,0.0,0.0,0,1,1,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0.4196706222542997,3.006090861525497,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0.48838134525879384,2.9854011911450065,3.0035716778412467,0.0,0.0,0,1,1,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0,0.8928634210850054,2.979570414666967,2.993549920237225,0.0,0.0,0,1,1,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0.6118922615347032,2.9728018544521535,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0,0.4946721691437331,2.989034621160964,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0,0.6911247814103773,2.9946957538861705,2.9854011911450065,0.0,0.0,0,1,1,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,0.7450557003472381,3.0136496793634517,2.989034621160964,0.0,0.0,0,1,1,0,0,0,0,0
1.9,0,0,0,0,0,0,0,0,0.6912693447905851,3.0208197065780786,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0.6234263608874084,2.9885160551108245,2.9946957538861705,0.0,0.0,0,1,1,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0.19995055007416287,2.9948766912630416,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0.3958269094721936,2.982630402165536,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0.6811400672564286,2.9969904968794294,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.4,0,0,0,0,0,0,0,0,0.43671471134522094,2.9731660337527135,2.9885160551108245,0.0,0.0,0,1,1,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0.4395068102464345,2.995208228767895,2.9948766912630416,0.0,0.0,0,1,1,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0,0.2400803462247321,2.9721547908718917,2.982630402165536,0.0,0.0,0,1,1,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,1.0397875066550248,2.988118261598656,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.8,0,0,0,0,0,0,0,0,1.197420802199995,2.9954253885102413,2.988118261598656,0.0,0.0,0,1,1,0,0,0,0,0
2.9,0,0,0,0,0,0,0,0,0.7213869498897948,3.009750456441761,2.995208228767895,0.0,0.0,0,1,1,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0.31935745265399984,3.0000535978243144,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0.7047330958662448,2.9945710120678397,2.9954253885102413,0.0,0.0,0,1,1,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0.7142623033612007,3.0171015398697567,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0.5104374547383893,2.98309268161578,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.4,0,0,0,0,0,0,0,0,0.5893576738836998,3.015265670087973,3.0000535978243144,0.0,0.0,0,1,1,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0.37155771155226663,2.977455826216842,2.9945710120678397,0.0,0.0,0,1,1,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0.6379112054734545,2.986918655831048,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.7,0,0,0,0,0,0,0,0,0.24488952051237656,3.0029471724488133,2.986918655831048,0.0,0.0,0,1,1,0,0,0,0,0
3.8,0,0,0,0,0,0,0,0,0.8522655509145778,3.0350476282110934,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0.2124131286412369,3.0044686234823113,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0,0.3156625032611102,2.9874401881632626,3.0029471724488133,0.0,0.0,0,1,1,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0.2819497180581359,3.0092834443988012,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0.36079012164057633,3.018183671722043,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0.2819908977283508,2.983957492674628,3.0044686234823113,0.0,0.0,0,1,1,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0.9725109324914251,3.0148391787673168,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0.2769053098839505,2.9497663894901742,3.0092834443988012,0.0,0.0,0,1,1,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0.4191820102427831,2.9834526365501626,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0.6269377449829585,2.993032991758009,2.983957492674628,0.0,0.0,0,1,1,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0.23404661048707687,3.0077259741244116,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
4.9,0,0,0,0,0,0,0,0,0.19863576647384631,3.025708657343512,2.993032991758009,0.0,0.0,0,1,1,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0,0.22277712477929182,3.0264180815811943,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0.44448739973657087,2.987502482243777,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.2,0,0,0,0,0,0,0,0,0.5410287878575394,2.9762846376853935,3.0077259741244116,0.0,0.0,0,1,1,0,0,0,0,0
5.3,0,0,0,0,0,0,0,0,0.42785619690072046,2.9427133842067326,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.4,0,0,0,0,0,0,0,0,0.7420369151099138,3.0183462908296725,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0.5790309077667364,3.0300182344518833,2.987502482243777,0.0,0.0,0,1,1,0,0,0,0,0
5.6,0,0,0,0,0,0,0,0,0.5761943780632179,2.9584444004285952,2.9762846376853935,0.0,0.0,0,1,1,0,0,0,0,0
5.7,0,0,0,0,0,0,0,0,0.319783027263555,2.965157149127101,2.965157149127101,0.0,0.0,0,1,1,0,0,0,0,0
5.8,0,0,0,0,0,0,0,0,0.2365721749756728,2.9838699509428968,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
5.9,0,0,0,0,0,0,0,0,0.6217156513379474,2.9989103931695786,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0,0.7685913882600336,3.027187666124831,2.9838699509428968,0.0,0.0,0,1,1,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0.4670612946783446,3.0060536459848968,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,1.1518376170932836,2.9767975214199147,2.9989103931695786,0.0,0.0,0,1,1,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,0.47084842716445374,3.012675619207614,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.4,0,0,0,0,0,0,0,0,0.554020129549327,3.0274659701237545,3.012675619207614,0.0,0.0,0,1,1,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0.35541169763963965,3.003395945901959,3.0060536459848968,0.0,0.0,0,1,1,0,0,0,0,0
6.6,0,0,0,0,0,0,0,0,0.9640058198527338,2.9850733292501057,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.7,0,0,0,0,0,0,0,0,0.4407373057240433,2.9761174895103184,3.003395945901959,0.0,0.0,0,1,1,0,0,0,0,0
6.8,0,0,0,0,0,0,0,0,0.4708529144826854,2.984021697062378,2.9850733292501057,0.0,0.0,0,1,1,0,0,0,0,0
6.9,0,0,0,0,0,0,0,0,0.4962021200037924,2.9737351629364834,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0.8095036822975447,2.995424233110415,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0.3153612890194126,2.996321785274254,2.984021697062378,0.0,0.0,0,1,1,0,0,0,0,0
7.2,0,0,0,0,0,0,0,0,0.4953923704745811,2.993387756417457,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.3,0,0,0,0,0,0,0,0,0.507554161672964,2.975767106973828,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.4,0,0,0,0,0,0,0,0,0.5679836441554726,2.9918135992768877,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0.4559074818183164,3.0095693697400088,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.6,0,0,0,0,0,0,0,0,0.2687893827751769,3.0002964544892974,2.993387756417457,0.0,0.0,0,1,1,0,0,0,0,0
7.7,0,0,0,0,0,0,0,0,0.3356680665006346,3.025638137607197,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
7.8,0,0,0,0,0,0,0,0,0.893102923497307,2.9851982103049903,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
7.9,0,0,0,0,0,0,0,0,0.7047991457465327,3.0267984290506136,3.0095693697400088,0.0,0.0,0,1,1,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0,1.1051491942466436,2.980585239969269,3.0002964544892974,0.0,0.0,0,1,1,0,0,0,0,0
8.1,0,0,0,0,0,0,0,0,0.32828082003981673,3.0067344987743128,3.0067344987743128,0.0,0.0,0,1,1,0,0,0,0,0
8.2,0,0,0,0,0,0,0,0,0.7672057766385569,2.9753111425601717,2.9851982103049903,0.0,0.0,0,1,1,0,0,0,0,0
8.3,0,0,0,0,0,0,0,0,0.20267104894505134,2.9935408699067874,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.4,0,0,0,0,0,0,0,0,0.41425449530099806,3.009249500233351,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0.4053003583744712,3.0020842406158135,3.0020842406158135,0.0,0.0,0,1,1,0,0,0,0,0
8.6,0,0,0,0,0,0,0,0,0.29533077667944746,2.9773678033384945,2.9935408699067874,0.0,0.0,0,1,1,0,0,0,0,0
8.7,0,0,0,0,0,0,0,0,0.6693378538656277,3.0105286840125767,3.0020842406158135,0.0,0.0,0,1,1,0,0,0,0,0
8.8,0,0,0,0,0,0,0,0,0.33794937262007374,3.002898673482223,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
8.9,0,0,0,0,0,0,0,0,0.2838023707359804,3.0088244043546064,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0,0.42514557945042714,2.9506038208514003,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0.3445441284365805,2.9871651948552076,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.2,0,0,0,0,0,0,0,0,0.4972599333447341,3.02775718615467,3.002898673482223,0.0,0.0,0,1,1,0,0,0,0,0
9.3,0,0,0,0,0,0,0,0,0.643793842760845,3.0231877798503595,3.0088244043546064,0.0,0.0,0,1,1,0,0,0,0,0
9.4,0,0,0,0,0,0,0,0,0.796670703472321,2.9826921588447597,2.9871651948552076,0.0,0.0,0,1,1,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0.45886116023571805,3.0118751509465747,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.6,0,0,0,0,0,0,0,0,0.39197028568242165,2.994129616541903,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.7,0,0,0,0,0,0,0,0,0.8086630133756885,3.032682944470968,3.0118751509465747,0.0,0.0,0,1,1,0,0,0,0,0
9.8,0,0,0,0,0,0,0,0,0.9626757819145122,2.998865299492228,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
9.9,0,0,0,0,0,0,0,0,0.3658452082669316,2.986655442421185,2.998865299492228,0.0,0.0,0,1,1,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0,0.6277518258893766,2.9744373932854287,2.994129616541903,0.0,0.0,0,1,1,0,0,0,0,0
