scenario,mismatches,centralRed
01_quiet.csv,0,0
02_fan.csv,0,0
03_traffic.csv,0,0
04_sensor_noise.csv,0,0
05_gain.csv,0,0
06_camera_noise.csv,0,0
07_light_on.csv,0,0
08_light_off.csv,0,0
09_rain.csv,0,0
10_thunder.csv,0,0
11_wind.csv,0,0
12_door_slam.csv,0,0
13_object_falls.csv,0,0
14_bad_echo.csv,0,0
15_pir_glitch.csv,0,0
16_radar_glitch.csv,0,0
17_mic_transient.csv,0,0
18_frame_drop.csv,0,0
19_camera_disconnect.csv,0,0
20_camera_covered.csv,0,0
21_wifi_outage.csv,0,1
22_server_offline.csv,0,0
23_walk_in.csv,0,1
24_quiet_entry.csv,0,1
25_early_steps.csv,0,1
26_avoids_camera.csv,0,1
27_blocks_camera.csv,0,1
28_stops_moving.csv,0,1
29_near.csv,0,1
30_far.csv,0,1
31_audio_pir_only.csv,0,0
32_audio_radar_only.csv,0,0
33_camera_pir.csv,0,1
34_camera_ultrasonic.csv,0,1
35_camera_unavailable.csv,0,1
36_delayed_camera.csv,0,1
37_curtain.csv,0,0
38_warm_moving_object.csv,0,1
39_small_animal.csv,0,0
40_strong_thunder.csv,0,0
41_rain_impacts.csv,0,0
42_outside_door.csv,0,1
43_us_timeout.csv,0,0
44_silent_mic.csv,0,0
45_clipped_mic.csv,0,0
46_frozen_camera.csv,0,0
47_nonuniform_light.csv,0,0
48_saturated_camera.csv,0,0
49_usb_lost_intrusion.csv,0,0
50_rain_intrusion.csv,0,1
51_blind_silent_far.csv,0,0
52_stuck_radar.csv,0,0
