span,last_channel_delay,red,truth
0.5,1.0,False,same event; impulse channels
0.5,3.2,False,same event; impulse channels
0.5,5.0,False,same event; impulse channels
0.5,7.0,False,same event; impulse channels
0.5,7.0,False,unrelated events; constructed accidental coincidence
2.0,1.0,True,same event; impulse channels
2.0,3.2,False,same event; impulse channels
2.0,5.0,False,same event; impulse channels
2.0,7.0,False,same event; impulse channels
2.0,7.0,False,unrelated events; constructed accidental coincidence
4.0,1.0,True,same event; impulse channels
4.0,3.2,True,same event; impulse channels
4.0,5.0,False,same event; impulse channels
4.0,7.0,False,same event; impulse channels
4.0,7.0,False,unrelated events; constructed accidental coincidence
8.0,1.0,True,same event; impulse channels
8.0,3.2,True,same event; impulse channels
8.0,5.0,True,same event; impulse channels
8.0,7.0,True,same event; impulse channels
8.0,7.0,True,unrelated events; constructed accidental coincidence
