name,group,intrusion,seed,red,central_red,local_fallback,yellow,final_state,latency,naive_red,alerts,note,outcome
01_quiet,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
02_fan,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
03_traffic,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
04_sensor_noise,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
05_gain,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
06_camera_noise,normal,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
07_light_on,environment,False,1000,False,False,False,False,0,,True,0,,NO_DANGER
08_light_off,environment,False,1000,False,False,False,False,0,,True,0,,NO_DANGER
09_rain,environment,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
10_thunder,environment,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
11_wind,environment,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
12_door_slam,environment,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
13_object_falls,environment,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
14_bad_echo,fault,False,1000,False,False,False,False,0,,True,0,,NO_DANGER
15_pir_glitch,fault,False,1000,False,False,False,False,0,,True,0,,NO_DANGER
16_radar_glitch,fault,False,1000,False,False,False,False,0,,True,0,,NO_DANGER
17_mic_transient,fault,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
18_frame_drop,fault,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
19_camera_disconnect,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
20_camera_covered,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
21_wifi_outage,fault,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
22_server_offline,fault,True,1000,True,False,True,False,0,1.3,True,0,,DETECTED
23_walk_in,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
24_quiet_entry,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
25_early_steps,intrusion,True,1000,True,True,False,True,0,0.3,True,1,,DETECTED
26_avoids_camera,intrusion,True,1000,True,True,False,True,0,0.3,True,1,,DETECTED
27_blocks_camera,intrusion,True,1000,True,True,False,True,1,0.2,True,1,,DETECTED
28_stops_moving,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
29_near,intrusion,True,1000,True,True,False,True,0,0.4,True,1,,DETECTED
30_far,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
31_audio_pir_only,intrusion,True,1000,False,False,False,True,0,,True,0,Deliberately insufficient for RED,MISSED_INTRUSION
32_audio_radar_only,intrusion,True,1000,False,False,False,True,0,,True,0,Deliberately insufficient for RED,MISSED_INTRUSION
33_camera_pir,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
34_camera_ultrasonic,intrusion,True,1000,True,True,False,True,0,0.4,True,1,,DETECTED
35_camera_unavailable,intrusion,True,1000,True,True,False,True,1,0.4,True,1,,DETECTED
36_delayed_camera,intrusion,True,1000,True,True,False,True,0,3.2,True,1,,DETECTED
37_curtain,challenge,False,1000,False,False,False,False,0,,False,0,,NO_DANGER
38_warm_moving_object,challenge,False,1000,True,True,False,True,0,0.2,True,1,Common cause can fool vision+PIR,FALSE_ALERT
39_small_animal,challenge,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
40_strong_thunder,challenge,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
41_rain_impacts,challenge,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
42_outside_door,challenge,False,1000,True,True,False,True,0,0.3,True,1,Models bad sensor placement/cross-boundary response,FALSE_ALERT
43_us_timeout,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
44_silent_mic,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
45_clipped_mic,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
46_frozen_camera,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
47_nonuniform_light,challenge,False,1000,False,False,False,True,0,,True,0,,NO_DANGER
48_saturated_camera,fault,False,1000,False,False,False,True,1,,False,0,,NO_DANGER
49_usb_lost_intrusion,fault,True,1000,True,False,True,True,0,1.3,True,0,,DETECTED
50_rain_intrusion,intrusion,True,1000,True,True,False,True,0,0.2,True,1,,DETECTED
51_blind_silent_far,intrusion,True,1000,False,False,False,True,0,,True,0,Insufficient observability; intentional blind spot,MISSED_INTRUSION
52_stuck_radar,fault,False,1000,False,False,False,True,1,,True,0,,NO_DANGER
