t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
0.0,0,0,0,0,0,0,0,0,3.990201087866635,3.0030024997660107,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.1,0,0,0,0,0,0,0,0,3.990201087866635,3.0160036471985388,3.0160036471985388,0.0,0.0,0,1,0,0,0
0.2,0,0,0,0,0,1,1,0,4.063905498117962,2.9851573105127507,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.3,0,0,0,0,0,1,1,0,4.236783290021281,2.995168925070428,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.4,0,0,0,0,0,1,1,0,3.8898673524941367,2.9953873423440847,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.5,0,0,0,0,0,1,1,0,4.141994073170465,2.996762400310845,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.6,0,0,0,0,0,1,1,0,4.37101335000203,3.0216005320344035,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.7,0,0,0,0,0,1,1,0,4.015495998440117,2.9844629515498187,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.8,0,0,0,0,0,1,1,0,4.2922209712175245,2.9994105234005803,2.996762400310845,0.0,0.0,0,1,0,0,0
0.9,0,0,0,0,0,1,1,0,4.122488454139343,3.0035716778412467,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.0,0,0,0,0,0,1,1,0,4.004915800179353,2.993549920237225,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.1,0,0,0,0,0,1,1,0,3.9543494209247374,3.03499767743035,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.2,0,0,0,0,0,1,1,0,3.9632300505135554,3.006090861525497,3.0035716778412467,0.0,0.0,0,1,0,0,0
1.3,0,0,0,0,0,1,1,0,4.139455231427401,2.9854011911450065,3.0035716778412467,0.0,0.0,0,1,0,0,0
1.4,0,0,0,0,0,1,1,0,4.35627221963568,2.979570414666967,2.993549920237225,0.0,0.0,0,1,0,0,0
1.5,0,0,0,0,0,1,1,0,4.288826623714682,2.9728018544521535,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.6,0,0,0,0,0,1,1,0,3.8266873695149877,2.989034621160964,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.7,0,0,0,0,0,1,1,0,4.28376013390037,2.9946957538861705,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.8,0,0,0,0,0,1,1,0,3.9871038958793386,3.0136496793634517,2.989034621160964,0.0,0.0,0,1,0,0,0
1.9,0,0,0,0,0,1,1,0,3.780319599553574,3.0208197065780786,2.9946957538861705,0.0,0.0,0,1,0,0,0
2.0,0,0,0,0,0,1,1,0,4.286982242786657,2.9885160551108245,2.9946957538861705,0.0,0.0,0,1,0,0,0
2.1,0,0,0,0,0,1,1,0,4.134364265917075,2.9948766912630416,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.2,0,0,0,0,0,1,1,0,3.8577162366261,2.982630402165536,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.3,0,0,0,0,0,1,1,0,3.7282766133892,2.9969904968794294,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.4,0,0,0,0,0,1,1,0,4.013166981632586,2.9731660337527135,2.9885160551108245,0.0,0.0,0,1,0,0,0
2.5,0,0,0,0,0,1,1,0,4.170987844188731,2.995208228767895,2.9948766912630416,0.0,0.0,0,1,0,0,0
