t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
0.0,0,0,0,0,0,0,0,0,0.3594170115043085,3.0030024997660107,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.1,0,0,0,0,0,0,0,0,0.3594170115043085,3.0160036471985388,3.0160036471985388,0.0,0.0,0,1,0,0,0
0.2,0,0,0,0,0,0,0,0,0.2969330571743737,2.9851573105127507,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.3,0,0,0,0,0,0,0,0,0.8247447295527954,2.995168925070428,3.0030024997660107,0.0,0.0,0,1,0,0,0
0.4,0,0,0,0,0,0,0,0,0.29568875648612286,2.9953873423440847,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.5,0,0,0,0,0,0,0,0,0.6744174299768717,2.996762400310845,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.6,0,0,0,0,0,0,0,0,0.6597655617818182,3.0216005320344035,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.7,0,0,0,0,0,0,0,0,0.19707712220796292,2.9844629515498187,2.9953873423440847,0.0,0.0,0,1,0,0,0
0.8,0,0,0,0,0,0,0,0,0.3410543163351096,2.9994105234005803,2.996762400310845,0.0,0.0,0,1,0,0,0
0.9,0,0,0,0,0,0,0,0,0.8995590647994024,3.0035716778412467,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.0,0,0,0,0,0,0,0,0,0.4901588725002769,2.993549920237225,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.1,0,0,0,0,0,0,0,0,0.9029963384020302,3.03499767743035,2.9994105234005803,0.0,0.0,0,1,0,0,0
1.2,0,0,0,0,0,0,0,0,0.4186821935477272,3.006090861525497,3.0035716778412467,0.0,0.0,0,1,0,0,0
1.3,0,0,0,0,0,0,0,0,0.5913261427922543,2.9854011911450065,3.0035716778412467,0.0,0.0,0,1,0,0,0
1.4,0,0,0,0,0,0,0,0,0.3314026637771832,2.979570414666967,2.993549920237225,0.0,0.0,0,1,0,0,0
1.5,0,0,0,0,0,0,0,0,0.4707067978181483,2.9728018544521535,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.6,0,0,0,0,0,0,0,0,0.4755134123335673,2.989034621160964,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.7,0,0,0,0,0,0,0,0,0.6911028171693824,2.9946957538861705,2.9854011911450065,0.0,0.0,0,1,0,0,0
1.8,0,0,0,0,0,0,0,0,0.43820618885784907,3.0136496793634517,2.989034621160964,0.0,0.0,0,1,0,0,0
1.9,0,0,0,0,0,0,0,0,0.5020662234290996,3.0208197065780786,2.9946957538861705,0.0,0.0,0,1,0,0,0
2.0,0,0,0,0,0,0,0,0,0.40251682300378805,2.9885160551108245,2.9946957538861705,0.0,0.0,0,1,0,0,0
2.1,0,0,0,0,0,0,0,0,0.8257429983756369,2.9948766912630416,2.9948766912630416,0.0,0.0,0,1,0,0,0
2.2,0,0,0,0,0,0,0,0,0.42196098267046034,2.982630402165536,2.9948766912630416,0.0,0.0,0,1,0,0,0
